37,Y,-0.011351,0.019425,-0.101177,-0.042103,0.005239,-0.232920,0.409175,-0.044294,-0.005825,-0.009416,0.028277,-0.005927,-0.000125,-0.002948,-0.045204,0.002040,-0.019289,0.027959,0.028465,
37,Z,0.134787,-0.273713,-0.001951,-0.168106,-0.031453,0.129259,-0.164268,0.250976,0.095463,-0.017579,-0.138779,0.004733,-0.070472,0.015403,0.098486,-0.036682,0.034932,0.064367,0.074598,
38,X,0.107997,0.213640,0.024372,-0.062257,0.004671,-0.473603,0.051327,0.117530,-0.091086,-0.018512,0.023567,-0.003056,-0.039235,0.014137,0.049652,0.007393,0.044544,0.001891,0.027029,
38,Y,-0.019381,-0.002776,-0.100762,-0.042795,0.009738,-0.213844,0.407284,-0.052419,0.005598,-0.007001,0.016174,-0.006384,-0.005792,-0.002758,-0.035117,0.001045,-0.012550,0.032499,0.029240,
38,Z,0.200982,-0.279519,0.008826,-0.147585,-0.031177,0.049253,-0.139732,0.223072,0.091404,-0.025795,-0.159354,0.006267,-0.064829,0.012629,0.130388,-0.040409,0.033510,0.069657,0.062412,
39,X,0.119182,0.229817,0.017784,-0.050675,0.008180,-0.511069,0.091539,0.085585,-0.097766,-0.017727,0.022852,-0.003404,-0.034565,0.011493,0.054920,0.007606,0.040999,0.003340,0.021909,
39,Y,-0.032570,-0.024211,-0.098605,-0.042660,0.013096,-0.190319,0.401338,-0.058596,0.017472,-0.002467,0.004513,-0.006579,-0.009885,-0.002776,-0.025499,0.000201,-0.007513,0.035629,0.029429,
39,Z,0.263462,-0.282941,0.018908,-0.126225,-0.028164,-0.020189,-0.112380,0.189566,0.084787,-0.034263,-0.172481,0.008211,-0.056824,0.009473,0.151870,-0.044084,0.029495,0.073104,0.048674,
40,X,0.123569,0.248560,0.012601,-0.039436,0.011275,-0.534713,0.117955,0.058810,-0.105271,-0.015436,0.025292,-0.003586,-0.029640,0.009236,0.055767,0.008163,0.037269,0.002676,0.016909,
40,Y,-0.051924,-0.033866,-0.095118,-0.041334,0.016198,-0.176791,0.396893,-0.064187,0.025831,0.004592,-0.003700,-0.006778,-0.012820,-0.002809,-0.016947,0.000327,-0.003195,0.036585,0.029040,
40,Z,0.326929,-0.281957,0.027038,-0.105772,-0.023078,-0.093972,-0.072596,0.151312,0.074456,-0.044371,-0.179636,0.010343,-0.047745,0.006155,0.165678,-0.047604,0.024013,0.076132,0.034676,
41,X,0.122127,0.271503,0.011439,-0.027531,0.012872,-0.538011,0.116920,0.040710,-0.114497,-0.012250,0.031791,-0.003543,-0.024296,0.007621,0.051936,0.009397,0.033693,-0.001442,0.011562,
41,Y,-0.070080,-0.024953,-0.091036,-0.040949,0.019430,-0.192742,0.399260,-0.067735,0.027487,0.014392,-0.009979,-0.007008,-0.016088,-0.002631,-0.005756,0.001017,0.001773,0.036551,0.029047,
41,Z,0.389388,-0.274166,0.033506,-0.086444,-0.016416,-0.170617,-0.024924,0.109669,0.059893,-0.055658,-0.181359,0.012464,-0.038393,0.002847,0.173184,-0.050569,0.018060,0.078567,0.020968,
42,X,0.117597,0.297174,0.013542,-0.015821,0.011995,-0.522027,0.092104,0.031646,-0.124903,-0.010066,0.040377,-0.003209,-0.018417,0.006370,0.045693,0.010871,0.029352,-0.008367,0.006089,
42,Y,-0.085757,0.003324,-0.087640,-0.040281,0.022655,-0.234801,0.407604,-0.071189,0.021660,0.027587,-0.014248,-0.007137,-0.018981,-0.002492,0.006794,0.002032,0.006518,0.035370,0.028982,
42,Z,0.447314,-0.262334,0.037085,-0.069328,-0.008382,-0.241902,0.022023,0.070092,0.042330,-0.068383,-0.173685,0.013892,-0.030159,0.000503,0.169184,-0.051667,0.013800,0.080288,0.009329,
43,X,0.078888,0.181742,0.024776,-0.084395,0.005554,-0.411550,0.011994,0.155510,-0.075761,-0.016982,0.022216,-0.003594,-0.051603,0.018253,0.041012,0.006951,0.054833,0.004139,0.038018,
